rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b|A00|Anderssen's Opening|
rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b|A00|Crab Opening|
rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b|A00|Ware (Meadow Hay) Opening|
rnbqk2r/pppp1ppp/5n2/4p3/1bP5/2N3P1/PP1PPP1P/R1BQKBNR w|A22|English|bremen, Smyslov system|
rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w|A23|English|bremen system, Keres Variation |
rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w|A22|English|bremen, reverse Dragon|
rnbqkb1r/pppp1p1p/5np1/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w|A24|English|bremen system with ...g6|
rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR b|A22|English|Carls' bremen system|
rnbqkb1r/p1pp1ppp/5n2/1p4N1/2P1p3/2N5/PP1PPPPP/R1BQKB1R w|A22|English|bellon gambit|
rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR w|A22|English Opening|Mikenas-Carls, Sicilian Variation |
rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b|A21|English Opening|Mikenas-Carls, Sicilian Variation |
rnbqkbnr/pppp1ppp/8/8/2P1p3/5N2/PP1PPPPP/RNBQKB1R w|A20|English, Nimzovich, Flohr Variation |Mikenas-Carls, Sicilian Variation |
rnbqkbnr/pppp1ppp/8/4p3/2P5/5N2/PP1PPPPP/RNBQKB1R b|A20|English, Nimzovich Variation |Mikenas-Carls, Sicilian Variation |
rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w|A20|English Opening|Mikenas-Carls, Sicilian Variation |
rnbqkb1r/pp3ppp/4pn2/2pp4/2P5/1P2PN2/PB1P1PPP/RN1QKB1R b|A13|English|Wimpey system|
rnbqkbnr/pp3ppp/2p1p3/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w|A13|English|Kurajica defense|
r1bqk2r/pp2bppp/2n1p3/2pn4/8/2N2NP1/PP1PPPBP/R1BQ1RK1 w|A14|English|Symmetrical, Keres defense|
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b|A14|English|Neo-Catalan declined|
rnbqkb1r/ppp2ppp/4pn2/8/2p5/5NP1/PP1PPPBP/RNBQK2R w|A13|English|Neo-Catalan accepted|
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w|A13|English|Neo-Catalan|
rnbqkbnr/ppp2ppp/4p3/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R b|A13|English Opening|Agincourt Variation |
rnbqkbnr/ppp2ppp/4p3/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R w|A13|English Opening|Agincourt Variation |
rnbqkb1r/2pp1ppp/p3pn2/1p6/2P5/5NP1/PP1PPPBP/RNBQK2R w|A13|English|Romanishin gambit|
rnbqkbnr/pppp1ppp/4p3/8/2P5/8/PP1PPPPP/RNBQKBNR w|A13|English Opening|Caro-Kann defensive system, bogolyubov Variation |
rnbqkbnr/ppppp1pp/8/5p2/2P5/8/PP1PPPPP/RNBQKBNR w|A10|English|Anglo-Dutch defense|
rnbqkbnr/pppp1p1p/6p1/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w|A10|English|Adorjan defense|
rnbqkbnr/pppppp1p/6p1/8/2P5/8/PP1PPPPP/RNBQKBNR w|A10|English Opening|Keres Variation |
rnbqkb1r/pppppppp/5n2/8/1PP5/8/P2PPPPP/RNBQKBNR b|A15|English orang-utan|Symmetrical, Keres defense|
rnbqkb1r/ppp1pp1p/1n4p1/8/8/2N3P1/PP1PPPBP/R1BQK1NR w|A16|English|Anglo-Gruenfeld, Czech defense|
rnbqkb1r/ppp1pp1p/6p1/8/8/2n3P1/PP1PPPBP/R1BQK1NR w|A16|English|Anglo-Gruenfeld, Smyslov defense|
rnbqk2r/ppp2pbp/6p1/3np3/8/2N2NP1/PP1PPPBP/R1BQK2R w|A16|English|Anglo-Gruenfeld defense, Korchnoi Variation |
rnbqkb1r/ppp1pppp/8/3n4/8/2N2N2/PP1PPPPP/R1BQKB1R b|A16|English|Anglo-Gruenfeld defense|
rnbqkb1r/ppp1pppp/5n2/3p4/2P5/2N5/PP1PPPPP/R1BQKBNR w|A16|English|Anglo-Gruenfeld defense|
rnbqkb1r/pp1p1ppp/4pn2/2p5/2P1P3/2N5/PP1P1PPP/R1BQKBNR w|A19|English|Mikenas-Carls, Sicilian Variation |
rnbqkb1r/ppp2ppp/4pn2/3pP3/2P5/2N5/PP1P1PPP/R1BQKBNR b|A18|English|Mikenas-Carls, Flohr Variation |
r1bqkb1r/pppp1ppp/2n1pn2/8/2P1P3/2N5/PP1P1PPP/R1BQKBNR w|A18|English|Mikenas-Carls, Kevitz Variation |
rnbqkb1r/pppp1ppp/4pn2/8/2P1P3/2N5/PP1P1PPP/R1BQKBNR b|A18|English|Mikenas-Carls Variation |
rn1qkb1r/pbpp1ppp/1p2pn2/8/2P1P3/2NB1N2/PP1P1PPP/R1BQK2R b|A17|English|Queens Indian, Romanishin Variation |
rnbqkb1r/p1pp1ppp/1p2pn2/8/2P5/2N2N2/PP1PPPPP/R1BQKB1R w|A17|English|Queens Indian formation|
rnbqk2r/pppp1ppp/4pn2/8/1bP5/2N2N2/PP1PPPPP/R1BQKB1R w|A17|English|Nimzo-English Opening|
rnbqkb1r/pppp1ppp/4pn2/8/2P5/2N5/PP1PPPPP/R1BQKBNR w|A17|English Opening|Anglo-Gruenfeld defense, Korchnoi Variation |
rnbqkb1r/pppppppp/5n2/8/2P5/2N5/PP1PPPPP/R1BQKBNR b|A16|English Opening|Symmetrical, Keres defense|
rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b|A15|English Opening|Symmetrical, Keres defense|
rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w|A15|English, 1...Nf6 (Anglo-Indian defense)|Symmetrical, Keres defense|
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b|A10|English Opening|
r1bqkbnr/pp1ppppp/2n5/2p5/8/2NP2P1/PPP1PP1P/R1BQKBNR b|A00|Venezolana Opening|
rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPPNPPPP/R1BQKBNR b|A00|Valencia Opening|
rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPP1PPPP/RNBQKBNR w|A00|Mieses Opening|
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b|A00|Mieses Opening|
rnbqkbnr/p1pppppp/8/1p6/3P4/8/PPP1PPPP/RNBQKBNR w|A40|Polish defense|English defense|
rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w|A40|Queen's pawn|English defense|
rnbqkbnr/pp2pp1p/3p2p1/2pP4/8/2N5/PPP1PPPP/R1BQKBNR w|A43|Old benoni|Schmid's system|
rnbqkbnr/pp2pppp/3p4/2pP4/8/8/PPP1PPPP/RNBQKBNR w|A43|Old benoni defense|Mujannah formation|
rnbqkbnr/pp3ppp/3p4/2pPp3/4P3/8/PPP2PPP/RNBQKBNR w|A44|Semi-benoni (`blockade Variation ')|Schmid's system|
rnbqkbnr/pp1p1ppp/8/2pPp3/8/8/PPP1PPPP/RNBQKBNR w|A44|Old benoni defense|Schmid's system|
rnbqkbnr/pp1p1ppp/4p3/2pP4/4P3/8/PPP2PPP/RNBQKBNR b|A43|Old benoni|Franco-benoni defense|
rnbqkbnr/pp1pp1pp/8/2pP1p2/8/8/PPP1PPPP/RNBQKBNR w|A43|Old benoni|Mujannah formation|
rnb1kb1r/pp1ppppp/5n2/q1pP4/8/2N5/PPP1PPPP/R1BQKBNR w|A43|Woozle defense|Mujannah formation|
rnbqkb1r/pp1ppppp/5n2/3P4/2p5/5N2/PPP1PPPP/RNBQKB1R w|A43|Hawk (Habichd) defense|Mujannah formation|
rnbqkb1r/pp1ppppp/5n2/2pP4/8/5N2/PPP1PPPP/RNBQKB1R b|A43|Old benoni defense|Mujannah formation|
rnbqkb1r/pp1ppppp/5n2/2pP4/8/8/PPP1PPPP/RNBQKBNR w|A43|Old benoni defense|Mujannah formation|
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w|A43|Old benoni defense|Averbakh system, Kotov Variation |
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w|D00|Queen's pawn, Mason Variation , Steinitz counter-gambit|Closed, Chigorin, 12...c5d4|
rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b|D00|Queen's pawn, Mason Variation |Closed, Chigorin, 12...c5d4|
rnbqkbnr/ppp1pppp/8/3p2B1/3P4/8/PPP1PPPP/RN1QKBNR b|D00|Levitsky attack (Queen's Bishop attack)|Closed, Chigorin, 12...c5d4|
rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/8/PP2PPPP/RNBQKBNR w|D06|QGD|Grau (Sahovic) defense|
rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w|D06|QGD|Symmetrical (Austrian) defense|
rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PP2PPPP/RNBQKBNR b|D10|QGD Slav defense|Exchange Variation |
rnbqkbnr/pp2pppp/2p5/8/2pPP3/2N5/PP3PPP/R1BQKBNR b|D10|QGD Slav defense, Alekhine Variation |Albin counter-gambit, 5.g3|
rnbqkbnr/pp3ppp/2p5/3pp3/2PP4/2N5/PP2PPPP/R1BQKBNR w|D10|QGD Slav|Winawer counter-gambit|
r2qk2r/pp3ppp/2n1pn2/3p1b2/1b1P1B2/1QN1PN2/PP3PPP/R3KB1R w|D14|QGD Slav|Exchange, Trifunovic Variation |
r2qkb1r/pp2pppp/2n2n2/3p1b2/3P1B2/2N2N2/PP2PPPP/R2QKB1R w|D14|QGD Slav|Exchange Variation , 6.bf4 bf5|
rnbqkb1r/pp2pppp/5n2/3p4/3P4/5N2/PP2PPPP/RNBQKB1R w|D13|QGD Slav|Exchange Variation |
rn1qkb1r/pp1n1ppp/4p3/3pNb2/3P4/2N1P3/PP3PPP/R1BQKB1R w|D12|QGD Slav|Amsterdam Variation |
rn1qkb1r/pp2pppp/5n2/3p1b2/3P4/2N1PN2/PP3PPP/R1BQKB1R b|D12|QGD Slav|Exchange Variation |
rnq1kb1r/pp3ppp/4pn2/3p1b2/3P4/NQ2PN2/PP1B1PPP/R3KB1R b|D12|QGD Slav|Landau Variation |
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/4PN2/PP3PPP/RNBQKB1R w|D12|QGD Slav|4.e3 bf5|
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/4PN2/PP3PPP/RNBQKB1R b|D11|QGD Slav|4.e3|
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5N2/PP1NPPPP/R1BQKB1R b|D11|QGD Slav|breyer Variation |
rn1q1rk1/pp3ppp/2p1p3/5b2/PbBPn1P1/2N1PN2/1P2QP1P/R1B2RK1 b|D19|QGD Slav|Dutch, Saemisch Variation |
rn1q1rk1/pp3ppp/2p1pn2/5b2/PbBP4/2N1PN2/1P2QPPP/R1B2RK1 b|D19|QGD Slav|Dutch Variation , Main line|
rn1qk2r/pp3ppp/2p1pn2/5b2/PbBP4/2N1PN2/1P3PPP/R1BQ1RK1 b|D19|QGD Slav|Dutch Variation |
r2qkb1r/pp2pppp/n1p2n2/5b2/P1pP4/2N1PN2/1P3PPP/R1BQKB1R w|D18|QGD Slav|Dutch, Lasker Variation |
rn1qkb1r/pp2pppp/2p2n2/5b2/P1pP4/2N1PN2/1P3PPP/R1BQKB1R b|D18|QGD Slav|Dutch Variation |
rn1qkb1r/pp3ppp/2p1pn2/4Nb2/P1pP4/2N5/1P2PPPP/R1BQKB1R w|D17|QGD Slav|Wiesbaden Variation |
r3kb1r/ppqn1ppp/2p2n2/4pb2/P1NP4/2N3P1/1P2PP1P/R1BQKB1R w|D17|QGD Slav|Carlsbad Variation |
rn1qkb1r/pp2pppp/2p2n2/4Nb2/P1pP4/2N5/1P2PPPP/R1BQKB1R b|D17|QGD Slav|Krause attack|
rn1qkb1r/pp2pppp/2p2n2/5b2/P1pP4/2N2N2/1P2PPPP/R1BQKB1R w|D17|QGD Slav|Czech defense|
rn1qkb1r/pp2pppp/2p2n2/8/P1pP2b1/2N2N2/1P2PPPP/R1BQKB1R w|D16|QGD Slav|Steiner Variation |
rnbqkb1r/pp3ppp/2p1pn2/8/P1pP4/2N2N2/1P2PPPP/R1BQKB1R w|D16|QGD Slav|Soultanbeieff Variation |
r2qkb1r/pp2pppp/n1p2n2/8/P1pPP1b1/2N2N2/1P3PPP/R1BQKB1R w|D16|QGD Slav|Smyslov Variation |
rnbqkb1r/pp2pppp/2p2n2/8/P1pP4/2N2N2/1P2PPPP/R1BQKB1R b|D16|QGD Slav accepted|Alapin Variation |
rnbqkb1r/pp2pppp/2p2n2/8/2pP4/2N1PN2/PP3PPP/R1BQKB1R b|D15|QGD Slav|5.e3 (Alekhine Variation )|
rnbqkb1r/p3pppp/2p2n2/1p2P3/2pP4/2N2N2/PP3PPP/R1BQKB1R b|D15|QGD Slav|Tolush-Geller gambit|
rnbqkb1r/pp2pppp/2p2n2/8/2pPP3/2N2N2/PP3PPP/R1BQKB1R b|D15|QGD Slav|Slav gambit|
rnbqkb1r/pp2pppp/2p2n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w|D15|QGD Slav accepted|Schlechter Variation |
rnbqkb1r/pp2pp1p/2p2np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w|D15|QGD Slav|Schlechter Variation |
rnb1kb1r/pp2pppp/1qp2n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w|D15|QGD Slav|Suechting Variation |
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b|D15|QGD Slav|4.Nc3|
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b|D11|QGD Slav|3.Nf3|
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w|D10|QGD Slav defense|Albin counter-gambit, 5.g3|
rnbqkb1r/p3pppp/5n2/1ppP4/2p1P3/2N5/PP3PPP/R1BQKBNR w|D20|Queen's gambit accepted|Linares Variation |
rnbqkbnr/ppp1p1pp/8/5p2/2pPP3/8/PP3PPP/RNBQKBNR w|D20|Queen's gambit accepted|Schwartz defense|
rnbqkbnr/ppp1pppp/8/8/2pPP3/8/PP3PPP/RNBQKBNR b|D20|Queen's gambit accepted|3.e4|
rnbqkbnr/2p1pppp/p7/1p6/2pP4/4PN2/PP3PPP/RNBQKB1R w|D22|Queen's gambit accepted|Haberditz Variation |
rn1qkbnr/1pp2ppp/p3p3/3P4/2B3b1/4PN2/PP3PPP/RNBQK2R b|D22|Queen's gambit accepted|Alekhine defense, Alatortsev Variation |
rnbqkbnr/1pp1pppp/p7/8/2pPP3/5N2/PP3PPP/RNBQKB1R b|D21|Queen's gambit accepted|Alekhine defense, borisenko-Furman Variation |
rnbqkbnr/1pp1pppp/p7/8/2pP4/5N2/PP2PPPP/RNBQKB1R w|D22|Queen's gambit accepted|Alekhine defense|
rnbqkbnr/p1p1pppp/8/1p6/2pP4/5N2/PP2PPPP/RNBQKB1R w|D21|Queen's gambit accepted|Ericson Variation |
rn1qkb1r/ppp1pppp/4bn2/8/2pP4/4PN2/PP3PPP/RNBQKB1R w|D25|Queen's gambit accepted, Flohr Variation |Mannheim Variation |
rn1qkb1r/ppp1pppp/5n2/8/2pP2b1/4PN2/PP3PPP/RNBQKB1R w|D25|Queen's gambit accepted, Janowsky-Larsen Variation |Mannheim Variation |
rnbqkb1r/1p3ppp/p3pn2/2p5/P1BP4/4PN2/1P3PPP/RNBQ1RK1 b|D27|Queen's gambit accepted|Classical, Rubinstein Variation |
rnbqkb1r/1p3ppp/p3pn2/2p5/2BPP3/5N2/PP3PPP/RNBQ1RK1 b|D27|Queen's gambit accepted|Classical, Geller Variation |
r2qk2r/1b1n1ppp/p2bpn2/1pp5/3P4/1BN1PN2/PP2QPPP/R1BR2K1 w|D29|Queen's gambit accepted|Classical, Smyslov Variation |
rn1qkb1r/1b3ppp/p3pn2/1pp5/3P4/1B2PN2/PP2QPPP/RNB2RK1 w|D29|Queen's gambit accepted|Classical, 8...Bb7|
r3kb1r/1bq2ppp/p3pn2/1p1P4/2p5/2N1PN2/PPQ2PPP/R1BR2K1 w|D28|Queen's gambit accepted|Classical, Flohr Variation |
